Material = Aluminum 2024-T4 

Geometric Kt = 1.0 

    Nj         Sa         Sm
    1.00       0.00       0.03 
    1.00       0.00       0.05 
    1.00       0.01       0.08 
    1.00       0.02       0.10 
    1.00       0.03       0.12 
    1.00       0.04       0.14 
    1.00       0.07       0.17 
    1.00       0.12       0.20 
    1.00       0.18       0.26 
    0.50       0.31       0.31 
    0.50       0.35       0.27 
    0.50       0.48       0.39 
    0.50       0.60       0.27 
    0.50       0.75       0.42 
    0.50       0.95       0.21 
    0.50       1.08       0.34 
    0.50       1.37       0.05 
    0.50       1.56       0.24 
    0.50       1.91      -0.12 
    0.50       2.96       0.93 
    0.50       3.24       0.65 
    1.00       4.72       2.58 
    0.50       6.95       4.36 
    0.50       8.67       2.65 
    0.50      10.58       4.56 
    0.50      11.28       3.86 
    0.50      12.80       5.38 
    0.50      13.74       4.43 
    0.50      14.44       5.13 
    0.50      15.51       4.06 
    0.50      16.75       5.29 
    1.00       6.29       9.82 
    1.00      16.84       4.62 
    1.00      16.57       3.26 
    1.00       4.23       8.90 
    1.00      14.33       1.19 
    1.00       9.48      12.01 
    1.00       6.67      -1.02 
    1.00      17.15       4.72 
    0.50      17.85       4.19 
    1.00      17.04       5.66 
    1.00       4.01       0.07 
    1.00      14.49       7.75 
    1.00       9.28      -2.72 
    1.00       6.70       9.83 
    1.00      17.43       4.47 
    1.00      16.81       3.29 
    0.50      18.55       4.89 
    1.00       4.20       8.65 
    1.00      14.46       1.24 
    1.00       9.53      11.86 
    1.00       9.11      -3.22 
    1.00      17.37       4.59 
    1.00       6.22       9.94 
    1.00      16.59       3.20 
    1.00      17.97       4.27 
    1.00      13.74      -0.02 
    1.00      17.14       3.76 
    1.00      17.39       5.57 
    1.00      16.85       3.32 
    1.00       4.17       8.47 
    1.00      14.53       1.27 
    1.00       9.56      11.72 
    1.00       9.17      -3.08 
    1.00      17.44       4.59 
    1.00       6.37       9.91 
    1.00      16.67       3.22 
    1.00      17.92       4.24 
    1.00       4.29       9.16 
    1.00      14.28       1.15 
    1.00       9.48      12.20 
    1.00       6.51      -1.07 
    1.00      17.18       4.64 
    1.00      16.99       5.67 
    1.00      18.53       4.75 
    0.50      18.62       4.83 
    1.00       4.02      -0.14 
    1.00      14.42       7.78 
    1.00       9.26      -2.85 
    1.00       6.61       9.86 
    1.00      17.48       4.53 
    1.00      16.79       3.27 
    1.00       4.23       8.79 
    1.00      14.43       1.21 
    1.00       9.54      11.94 
    1.00       6.81      -1.00 
    1.00      17.17       4.78 
    1.00      17.13       5.64 
    1.00       4.01       0.30 
    1.00      14.62       7.71 
    1.00       9.36      -2.54 
    1.00       9.43      12.32 
    1.00       6.36      -1.11 
    1.00      17.21       4.58 
    1.00      16.93       5.68 
    1.00      18.25       5.20 
    1.00      18.62       4.88 
    1.00      13.79       9.42 
    1.00      17.63       5.42 
    1.00      17.08       3.56 
    1.00      17.22       5.61 
    1.00       4.00       0.67 
    1.00      14.78       7.66 
    1.00      17.20       6.20 
    1.00      18.61       4.91 
    1.00      14.06       9.03 
    1.00      17.61       5.61 
    1.00      17.01       3.38 
    1.00       4.08       7.97 
    1.00      14.73       1.34 
    1.00      16.68       3.04 
    0.50      18.68       4.89 
    1.00      13.86       0.09 
    1.00      17.14       3.70 
    1.00      17.36       5.58 
    1.00       3.98       1.11 
    1.00      14.97       7.59 
    1.00      17.26       6.07 
    1.00      13.87       9.32 
    1.00      17.63       5.47 
    1.00      17.06       3.51 
    1.00      17.17       5.62 
    1.00       4.01       0.49 
    1.00      14.71       7.69 
    1.00      17.18       6.25 
    1.00      18.61       4.93 
    0.50      18.70       4.87 
    1.00      14.13       8.92 
    1.00      17.60       5.66 
