Material = Aluminum 2024-T4 

Geometric Kt = 2.3 

    Nj         Sa         Sm
    1.00       0.00       0.06 
    1.00       0.00       0.12 
    1.00       0.02       0.18 
    1.00       0.04       0.23 
    1.00       0.07       0.29 
    1.00       0.10       0.33 
    1.00       0.15       0.38 
    1.00       0.27       0.46 
    1.00       0.41       0.59 
    0.50       0.71       0.71 
    0.50       0.81       0.61 
    0.50       1.09       0.90 
    0.50       1.38       0.61 
    0.50       1.73       0.96 
    0.50       2.19       0.49 
    0.50       2.48       0.79 
    0.50       3.15       0.12 
    0.50       3.58       0.55 
    0.50       4.40      -0.27 
    0.50       6.81       2.14 
    0.50       7.46       1.49 
    1.00      10.85       5.93 
    0.50      15.99      10.03 
    0.50      19.93       6.08 
    0.50      24.34      10.49 
    0.50      25.95       8.88 
    0.50      29.44      12.36 
    0.50      31.61      10.19 
    0.50      33.22      11.79 
    0.50      35.68       9.33 
    0.50      38.52      12.17 
    1.00      14.46      22.58 
    1.00      38.74      10.63 
    1.00      38.11       7.50 
    1.00       9.73      20.48 
    1.00      32.97       2.74 
    1.00      21.82      27.63 
    1.00      15.33      -2.35 
    1.00      39.44      10.86 
    0.50      41.06       9.64 
    1.00      39.19      13.01 
    1.00       9.22       0.16 
    1.00      33.33      17.82 
    1.00      21.36      -6.25 
    1.00      15.41      22.62 
    1.00      40.10      10.28 
    1.00      38.66       7.57 
    0.50      42.67      11.25 
    1.00       9.65      19.90 
    1.00      33.25       2.84 
    1.00      21.92      27.28 
    1.00      20.95      -7.41 
    1.00      39.96      10.56 
    1.00      14.30      22.87 
    1.00      38.17       7.35 
    1.00      41.34       9.82 
    1.00      31.60      -0.05 
    1.00      39.41       8.64 
    1.00      39.99      12.81 
    1.00      38.76       7.64 
    1.00       9.58      19.48 
    1.00      33.42       2.91 
    1.00      21.99      26.97 
    1.00      21.08      -7.09 
    1.00      40.11      10.57 
    1.00      14.65      22.80 
    1.00      38.34       7.42 
    1.00      41.22       9.74 
    1.00       9.86      21.06 
    1.00      32.84       2.65 
    1.00      21.81      28.05 
    1.00      14.97      -2.46 
    1.00      39.51      10.67 
    1.00      39.07      13.04 
    1.00      42.61      10.93 
    0.50      42.83      11.10 
    1.00       9.26      -0.31 
    1.00      33.17      17.89 
    1.00      21.30      -6.55 
    1.00      15.19      22.68 
    1.00      40.20      10.43 
    1.00      38.61       7.52 
    1.00       9.73      20.22 
    1.00      33.18       2.79 
    1.00      21.93      27.46 
    1.00      15.67      -2.30 
    1.00      39.49      10.99 
    1.00      39.39      12.98 
    1.00       9.23       0.68 
    1.00      33.63      17.74 
    1.00      21.53      -5.85 
    1.00      21.68      28.33 
    1.00      14.62      -2.56 
    1.00      39.58      10.54 
    1.00      38.93      13.07 
    1.00      41.99      11.96 
    1.00      42.83      11.21 
    1.00      31.72      21.66 
    1.00      40.55      12.47 
    1.00      39.29       8.19 
    1.00      39.61      12.90 
    1.00       9.20       1.53 
    1.00      34.00      17.62 
    1.00      39.56      14.26 
    1.00      42.81      11.29 
    1.00      32.33      20.78 
    1.00      40.49      12.89 
    1.00      39.11       7.78 
    1.00       9.39      18.34 
    1.00      33.87       3.09 
    1.00      38.36       7.00 
    0.50      42.97      11.24 
    1.00      31.87       0.21 
    1.00      39.41       8.51 
    1.00      39.92      12.84 
    1.00       9.15       2.56 
    1.00      34.44      17.47 
    1.00      39.69      13.97 
    1.00      31.89      21.43 
    1.00      40.54      12.59 
    1.00      39.25       8.08 
    1.00      39.49      12.92 
    1.00       9.22       1.13 
    1.00      33.82      17.68 
    1.00      39.51      14.37 
    1.00      42.80      11.33 
    0.50      43.01      11.19 
